Date,Hour,Consumption,Datetime,is_religious_holiday,is_normal_holiday,is_special_day
07.01.2016,16:00,37668.65,07/01/2016 16:00,0,0,0
07.01.2016,17:00,37906.99,07/01/2016 17:00,0,0,0
07.01.2016,18:00,35841.62,07/01/2016 18:00,0,0,0
07.01.2016,19:00,34621.65,07/01/2016 19:00,0,0,0
07.01.2016,20:00,33784.72,07/01/2016 20:00,0,0,0
07.01.2016,21:00,32638.14,07/01/2016 21:00,0,0,0
07.01.2016,22:00,32739.98,07/01/2016 22:00,0,0,0
07.01.2016,23:00,31092.87,07/01/2016 23:00,0,0,0
08.01.2016,00:00,28602.02,08/01/2016 00:00,0,0,0
08.01.2016,01:00,27112.37,08/01/2016 01:00,0,0,0
08.01.2016,02:00,25975.34,08/01/2016 02:00,0,0,0
08.01.2016,03:00,25315.55,08/01/2016 03:00,0,0,0
08.01.2016,04:00,25128.15,08/01/2016 04:00,0,0,0
08.01.2016,05:00,25356.22,08/01/2016 05:00,0,0,0
08.01.2016,06:00,26338.72,08/01/2016 06:00,0,0,0
08.01.2016,07:00,28086.42,08/01/2016 07:00,0,0,0
08.01.2016,08:00,32702.24,08/01/2016 08:00,0,0,0
08.01.2016,09:00,35788.17,08/01/2016 09:00,0,0,0
08.01.2016,10:00,36843.2,08/01/2016 10:00,0,0,0
08.01.2016,11:00,37140,08/01/2016 11:00,0,0,0
08.01.2016,12:00,34622.56,08/01/2016 12:00,0,0,0
08.01.2016,13:00,36134.82,08/01/2016 13:00,0,0,0
08.01.2016,14:00,36555.58,08/01/2016 14:00,0,0,0
08.01.2016,15:00,36190.41,08/01/2016 15:00,0,0,0
08.01.2016,16:00,37031.72,08/01/2016 16:00,0,0,0
08.01.2016,17:00,37773.7,08/01/2016 17:00,0,0,0
08.01.2016,18:00,35930.69,08/01/2016 18:00,0,0,0
08.01.2016,19:00,34710.46,08/01/2016 19:00,0,0,0
08.01.2016,20:00,33907.65,08/01/2016 20:00,0,0,0
08.01.2016,21:00,33048.69,08/01/2016 21:00,0,0,0
08.01.2016,22:00,33220.16,08/01/2016 22:00,0,0,0
08.01.2016,23:00,32021.6,08/01/2016 23:00,0,0,0
09.01.2016,00:00,29906.93,09/01/2016 00:00,0,0,0
09.01.2016,01:00,28061.98,09/01/2016 01:00,0,0,0
09.01.2016,02:00,26808.78,09/01/2016 02:00,0,0,0
09.01.2016,03:00,25798.8,09/01/2016 03:00,0,0,0
09.01.2016,04:00,25820.46,09/01/2016 04:00,0,0,0
09.01.2016,05:00,26035.77,09/01/2016 05:00,0,0,0
09.01.2016,06:00,26451.24,09/01/2016 06:00,0,0,0
09.01.2016,07:00,26853.42,09/01/2016 07:00,0,0,0
09.01.2016,08:00,30627.32,09/01/2016 08:00,0,0,0
09.01.2016,09:00,33468.25,09/01/2016 09:00,0,0,0
09.01.2016,10:00,34792.84,09/01/2016 10:00,0,0,0
09.01.2016,11:00,35382.85,09/01/2016 11:00,0,0,0
09.01.2016,12:00,34131.49,09/01/2016 12:00,0,0,0
09.01.2016,13:00,33827.99,09/01/2016 13:00,0,0,0
09.01.2016,14:00,33524.8,09/01/2016 14:00,0,0,0
09.01.2016,15:00,32951.39,09/01/2016 15:00,0,0,0
09.01.2016,16:00,33655.89,09/01/2016 16:00,0,0,0
09.01.2016,17:00,35045.14,09/01/2016 17:00,0,0,0
09.01.2016,18:00,34407.27,09/01/2016 18:00,0,0,0
09.01.2016,19:00,33494.32,09/01/2016 19:00,0,0,0
