Datetime,Data,Remainder,Seasonal168,Seasonal24,Seasonal8736,Trend
2018-06-02 11:00:00,32660.495619999998,-1610.091771,-404.4801625,1498.9720300000001,-476.4385816000001,33652.53411
2018-06-02 12:00:00,31908.705619999997,-1608.020991,-152.08227639999998,645.321679,-628.9781907,33652.4654
2018-06-02 13:00:00,32493.64562,-1597.614558,-291.93787339999994,1363.547021,-632.7456628,33652.3967
2018-06-02 14:00:00,32836.11562,-1811.781991,-1017.461826,2552.7643,-539.7328499,33652.32799
2018-06-02 15:00:00,32722.19562,-1881.607862,-1220.061604,2692.066373,-520.4605673000001,33652.25928
2018-06-02 16:00:00,32668.87562,-1828.6300019999999,-1418.614357,2792.5278120000003,-528.5984076000001,33652.19058
2018-06-02 17:00:00,32726.64562,-1656.126806,-1350.750766,2652.13258,-570.7312559,33652.121869999995
2018-06-02 18:00:00,33205.85562,-1508.67838,-771.3283918,2477.382604,-643.5733744,33652.05317
2018-06-02 19:00:00,33687.12562,-1323.71902,-495.4466817,2620.5584510000003,-766.2515855,33651.98446
2018-06-02 20:00:00,33216.86562,-1343.9514179999999,-502.1984884,2104.6952109999997,-693.5954347999999,33651.91575
2018-06-02 21:00:00,33692.41562,-1400.621743,-580.2725557,2774.906257,-753.4433826000001,33651.84705
2018-06-02 22:00:00,33305.645619999996,-1413.148398,-647.5875580000001,2479.938293,-765.3350551,33651.77834
2018-06-02 23:00:00,31975.315619999998,-1470.032222,-742.5175303,1313.662133,-777.506392,33651.70964
2018-06-03 00:00:00,30412.46562,-905.1184117,-716.8289076,-242.32208160000002,-1374.905905,33651.64093
2018-06-03 01:00:00,29473.225619999997,-954.6335601,-692.9983195,-1155.8007539999999,-1374.913967,33651.57222
2018-06-03 02:00:00,28671.69562,-950.0814533,-644.8932642000001,-2034.979953,-1349.853223,33651.50352
2018-06-03 03:00:00,27720.585619999998,-859.9364266000001,-732.1917356,-3026.428857,-1312.292169,33651.43481
2018-06-03 04:00:00,26478.27562,-992.9234237,-888.3043184,-3903.684728,-1388.1780119999999,33651.36611
2018-06-03 05:00:00,24729.51562,-1023.514324,-1087.28119,-5427.741037,-1383.245224,33651.2974
2018-06-03 06:00:00,23677.425619999998,-1041.918578,-1601.726083,-6001.449640999999,-1328.708768,33651.228689999996
2018-06-03 07:00:00,23092.155619999998,-1383.772603,-2822.528593,-5192.696129,-1160.007039,33651.15999
2018-06-03 08:00:00,23487.44562,-1804.1045800000002,-5604.437722,-1931.967845,-823.1355110000001,33651.09128
2018-06-03 09:00:00,24141.91562,-2165.425619,-6561.878347999999,-18.94016428,-762.8628197,33651.022580000004
