"","loc","coef"
"320","temp.38.0_38.5","0"
"321","temp.38.0_39.0","0"
"322","temp.38.0_39.5","0"
"323","temp.38.0_40.0","0"
"324","temp.38.0_40.5","0"
"325","temp.38.0_41.0","0"
"326","temp.38.0_41.5","0"
"327","temp.38.0_42.0","0"
"328","temp.38.5_36.0","0"
"329","temp.38.5_36.5","0"
"330","temp.38.5_37.0","0"
"331","temp.38.5_37.5","0"
"332","temp.38.5_38.0","0"
"333","temp.38.5_38.5","0"
"334","temp.38.5_39.0","0"
"335","temp.38.5_39.5","0"
"336","temp.38.5_40.0","0"
"337","temp.38.5_40.5","0"
"338","temp.38.5_41.0","0"
"339","temp.38.5_41.5","0"
"340","temp.38.5_42.0","0"
"341","temp.39.0_36.0","0"
"342","temp.39.0_36.5","0"
"343","temp.39.0_37.0","0"
"344","temp.39.0_37.5","0"
"345","temp.39.0_38.0","0"
"346","temp.39.0_38.5","0"
"347","temp.39.0_39.0","0"
"348","temp.39.0_39.5","0"
"349","temp.39.0_40.0","0"
"350","temp.39.0_40.5","0"
"351","temp.39.0_41.0","0"
"352","temp.39.0_41.5","0"
"353","temp.39.0_42.0","0"
"354","temp.39.5_36.0","0"
"355","temp.39.5_36.5","0"
"356","temp.39.5_37.0","0"
"357","temp.39.5_37.5","0"
"358","temp.39.5_38.0","0"
"359","temp.39.5_38.5","0"
"360","temp.39.5_39.0","0"
"361","temp.39.5_39.5","0"
"362","temp.39.5_40.0","0"
"363","temp.39.5_40.5","0"
"364","temp.39.5_41.0","0"
"365","temp.39.5_41.5","0"
"366","temp.39.5_42.0","0"
"367","temp.40.0_36.0","0"
"368","temp.40.0_36.5","0"
"369","temp.40.0_37.0","0"
"370","temp.40.0_37.5","0"
"371","temp.40.0_38.0","0"
"372","temp.40.0_38.5","0"
"373","temp.40.0_39.0","0"
"374","temp.40.0_39.5","0"
"375","temp.40.0_40.0","0"
"376","temp.40.0_40.5","0"
"377","temp.40.0_41.0","0"
"378","temp.40.0_41.5","0"
"379","temp.40.0_42.0","0"
"380","temp.40.5_36.0","0"
"381","temp.40.5_36.5","0"
"382","temp.40.5_37.0","0"
"383","temp.40.5_37.5","0"
"384","temp.40.5_38.0","0"
"385","temp.40.5_38.5","0"
"386","temp.40.5_39.0","0"
"387","temp.40.5_39.5","0"
"388","temp.40.5_40.0","0"
"389","temp.40.5_40.5","0"
"390","temp.40.5_41.0","0"
"391","temp.40.5_41.5","0"
"392","temp.40.5_42.0","0"
"393","temp.41.0_36.0","0"
"394","temp.41.0_36.5","0"
"395","temp.41.0_37.0","0"
"396","temp.41.0_37.5","0"
"397","temp.41.0_38.0","0"
"398","temp.41.0_38.5","0"
"399","temp.41.0_39.0","0"
"400","temp.41.0_39.5","0"
"401","temp.41.0_40.0","0"
"402","temp.41.0_40.5","0"
"403","temp.41.0_41.0","0"
"404","temp.41.0_41.5","0"
"405","temp.41.0_42.0","0"
"406","temp.41.5_36.0","0"
"407","temp.41.5_36.5","0"
"408","temp.41.5_37.0","0"
"409","temp.41.5_37.5","0"
"410","temp.41.5_38.0","0"
"411","temp.41.5_38.5","0"
"412","temp.41.5_39.0","0"
"413","temp.41.5_39.5","0"
"414","temp.41.5_40.0","0"
"415","temp.41.5_40.5","0"
"416","temp.41.5_41.0","0"
"417","temp.41.5_41.5","0"
"418","temp.41.5_42.0","0"
"419","temp.42.0_36.0","0"
"420","temp.42.0_36.5","0"
"421","temp.42.0_37.0","0"
"422","temp.42.0_37.5","0"
"423","temp.42.0_38.0","0"
"424","temp.42.0_38.5","0"
"425","temp.42.0_39.0","0"
"426","temp.42.0_39.5","0"
"427","temp.42.0_40.0","0"
"428","temp.42.0_40.5","0"
"429","temp.42.0_41.0","0"
"430","temp.42.0_41.5","0"
"431","temp.42.0_42.0","0"
"432","temp.42.5_36.0","0"
"433","temp.42.5_36.5","0"
"434","temp.42.5_37.0","0"
"435","temp.42.5_37.5","0"
"436","temp.42.5_38.0","0"
"437","temp.42.5_38.5","0"
"438","temp.42.5_39.0","0"
"439","temp.42.5_39.5","0"
"440","temp.42.5_40.0","0"
"441","temp.42.5_40.5","0"
"442","temp.42.5_41.0","0"
"443","temp.42.5_41.5","0"
"444","temp.42.5_42.0","0"
"445","temp.43.0_36.0","0"
"446","temp.43.0_36.5","0"
"447","temp.43.0_37.0","0"
"448","temp.43.0_37.5","0"
"449","temp.43.0_38.0","0"
"450","temp.43.0_38.5","0"
"451","temp.43.0_39.0","0"
"452","temp.43.0_39.5","0"
"453","temp.43.0_40.0","0"
"454","temp.43.0_40.5","0"
"455","temp.43.0_41.0","0"
"456","temp.43.0_41.5","0"
"457","temp.43.0_42.0","0"
"458","temp.43.5_36.0","0"
"459","temp.43.5_36.5","0"
"460","temp.43.5_37.0","0"
"461","temp.43.5_37.5","0"
"462","temp.43.5_38.0","0"
"463","temp.43.5_38.5","0"
"464","temp.43.5_39.0","0"
"465","temp.43.5_39.5","0"
"466","temp.43.5_40.0","0"
"467","temp.43.5_40.5","0"
"468","temp.43.5_41.0","0"
"469","temp.43.5_41.5","0"
"470","temp.43.5_42.0","0"
"471","temp.44.0_36.0","0"
"472","temp.44.0_36.5","0"
"473","temp.44.0_37.0","0"
"474","temp.44.0_37.5","0"
"475","temp.44.0_38.0","0"
"476","temp.44.0_38.5","0"
"477","temp.44.0_39.0","0"
"478","temp.44.0_39.5","0"
"479","temp.44.0_40.0","0"
"480","temp.44.0_40.5","0"
"481","temp.44.0_41.0","0"
"482","temp.44.0_41.5","0"
"483","temp.44.0_42.0","0"
"484","temp.44.5_36.0","0"
"485","temp.44.5_36.5","0"
"486","temp.44.5_37.0","36.5982245847244"
"487","temp.44.5_37.5","0"
"488","temp.44.5_38.0","0"
"489","temp.44.5_38.5","0"
"490","temp.44.5_39.0","0"
"491","temp.44.5_39.5","0"
"492","temp.44.5_40.0","0"
"493","temp.44.5_40.5","0"
"494","temp.44.5_41.0","0"
"495","temp.44.5_41.5","0"
"496","temp.44.5_42.0","0"
"497","temp.45.0_36.0","4.5631017201907"
"498","temp.45.0_36.5","0"
"499","temp.45.0_37.0","0"
"500","temp.45.0_37.5","0"
"501","temp.45.0_38.0","0"
"502","temp.45.0_38.5","0"
"503","temp.45.0_39.0","0"
"504","temp.45.0_39.5","0"
"505","temp.45.0_40.0","0"
"506","temp.45.0_40.5","0"
"507","temp.45.0_41.0","0"
"508","temp.45.0_41.5","40.5367156209683"
"509","temp.45.0_42.0","0"
